"trace_id","id","school","group","tier","n25","n26","median25","median26","mean25","mean26","delta_median","delta_mean","before_project","after_project","course25","course26","population25","population26","flags","file","line25","line26","url25","url26"
"680bf1ee-b435-4da8-87a8-347a6fc064b4","BJTU010","北京交通大学","first_408_2026","A","66","87","347","363","345.7","364.31","16","18.61","010-085405","010-085405","101+204+302+861","101+204+302+408","全日制备注空白;剔除7名显式士兵","全日制备注空白;剔除4名显式士兵","proxy;no_first_choice_field;do_not_add_non_directed","docs/current-16-four-year-admission-data-audit-2026-08-31.md","402","403","https://sse.bjtu.edu.cn/media/attachments/2025/04/20250401102845.pdf","https://sse.bjtu.edu.cn/media/attachments/2026/03/20260331171136.pdf"
"680bf1ee-b435-4da8-87a8-347a6fc064b4","SWJTU048","西南交通大学","first_408_2026","A","19","19","387","340","385.53","344.95","-47","-40.58","048-085410","048-085410","101+204+302+840","101+204+302+408","全日制备注空白且初试非0考试招生行","全日制备注空白且初试非0考试招生行","proxy;no_first_choice_or_adjustment_field;2026_url_failed_this_turn","docs/current-16-four-year-admission-data-audit-2026-08-31.md","450","451","https://scai.swjtu.edu.cn/web/page-newsDetail.html?nid=b48f1331-e284-4c26-baab-dea916cf8fe1","https://scai.swjtu.edu.cn/web/page-newsDetail.html?nid=1d073938-5bac-43c7-8b4c-bc1840bf3522"
"680bf1ee-b435-4da8-87a8-347a6fc064b4","ZZU084","郑州大学","continuous_408","A","96","86","353.5","368","357.29","369.28","14.5","11.99","084-085410","084-085410","101+204+302+408","101+204+302+408","全日制非定向专项无96;剔除定向少民骨干1（274分）","全日制非定向专项无86;与一志愿名册交叉","official_final_retained_bytes_hash_registered;current_endpoint_captcha;directions_not_separated;correction_trace_id=12b10116-09ad-4a8a-b786-73ec9056d13d","docs/current-16-four-year-admission-data-audit-2026-08-31.md","424","425","https://yz.zzu.edu.cn/info/1097/2171.htm","https://yz.zzu.edu.cn/info/1070/2395.htm"
"680bf1ee-b435-4da8-87a8-347a6fc064b4","XJU308","新疆大学","continuous_408","A","104","136","292.5","321.5","294.18","323.46","29","29.28","308-085405","308-085405","101+204+302+408","101+204+302+408","一志愿最终普通104;剔除明确加分2","一志愿最终普通清洗136","first_408_year_2025;not_long_stable_control;2025_2026_source_pages_live_titles_only;B_region","docs/current-16-four-year-admission-data-audit-2026-08-31.md","498","499","https://ss.xju.edu.cn/info/1036/3312.htm","https://ss.xju.edu.cn/info/1036/3441.htm"
"680bf1ee-b435-4da8-87a8-347a6fc064b4","CHD006SW","长安大学","first_408_2026","H","33","26","322","370","325","372.04","48","47.04","006-085400-01","006-085405","101+202/203/204+302+846","101+202/203/204+302+408","33人未见专项标记","26人均无专项备注","code_changed;mixed_foreign_language_options;school_cluster_CHD","docs/changan-university-006-085405-085404-022-085400-four-year-score-subject-special-and-fairness-audit-2026-09-01.md","67","68","https://it.chd.edu.cn/info/1013/1362.htm","https://yzb.chd.edu.cn/2026/0407/c2769a259908/page.htm"
"680bf1ee-b435-4da8-87a8-347a6fc064b4","CHD006CS","长安大学","first_408_2026","H","35","30","343","369","343.74","370.1","26","26.36","006-085400-02","006-085404","101+202/203/204+302+846","101+202/203/204+302+408","普通代理35;剔除士兵1骨干1","普通代理30;剔除士兵1","code_changed;mixed_foreign_language_options;school_cluster_CHD","docs/changan-university-006-085405-085404-022-085400-four-year-score-subject-special-and-fairness-audit-2026-09-01.md","80","81","https://it.chd.edu.cn/info/1013/1362.htm","https://yzb.chd.edu.cn/2026/0407/c2769a259908/page.htm"
"680bf1ee-b435-4da8-87a8-347a6fc064b4","CHD022","长安大学","first_408_2026","H","10","10","332.5","350.5","337.6","355.2","18","17.6","022-085400","022-085400","101+202/203/204+302+846","101+202/203/204+302+408","剔除明确骨干后10人","专项及加分栏无10人","small_n;mixed_foreign_language_options;school_cluster_CHD","docs/changan-university-006-085405-085404-022-085400-four-year-score-subject-special-and-fairness-audit-2026-09-01.md","97","98","https://dsai.chd.edu.cn/info/1040/1191.htm","https://dsai.chd.edu.cn/info/1040/1281.htm"
"680bf1ee-b435-4da8-87a8-347a6fc064b4","SUDA018","苏州大学","continuous_408","B_catalog","10","10","365.5","376.5","367.2","378.5","11","11.3","018-085405","018-085405","101+204+302+408 (完整镜像)","101+204+302+408","全国统考全日制非定向;无联培标记10","全国统考全日制非定向;无联培标记10","2025_catalog_not_official_confirmed;first_408_year_2024","docs/current-16-four-year-admission-data-audit-2026-08-31.md","573","574","https://scst.suda.edu.cn/_upload/article/files/8e/8b/4c28ac1c484589986e442e2b23a1/15e58fee-6b4e-4599-9919-cac567f36c62.pdf","https://scst.suda.edu.cn/_upload/article/files/fa/44/76cc7f434b918b9165f98e4e3835/e904b4d0-ce2f-4099-85c4-1c8e4d1d8299.pdf"
"680bf1ee-b435-4da8-87a8-347a6fc064b4","SDU047","山东大学","first_408_2026","C_stage","55","44","371","386","370.56","386.93","15","16.37","047-085404","047-085404","101+204+302+832","101+204+302+408","院级首榜52加递补3累计普通55;校级最终缺","核心备注空白44;剔除生医委培2空天联培1","stage_mismatch;not_primary;2025_pending_central_final","docs/current-16-four-year-admission-data-audit-2026-08-31.md","278","280","https://www.cs.sdu.edu.cn/info/1068/6506.htm","https://www.cs.sdu.edu.cn/info/1068/6784.htm"
"680bf1ee-b435-4da8-87a8-347a6fc064b4","LNU018","辽宁大学","continuous_408","C_population","25","22","341","344.5","342.6","349.82","3.5","7.22","018-085405","018-085405","101+204+302+408","101+204+302+408","普通最终25","一志愿全日制非定向22;无专项分类列","population_definition_mismatch;special_unknown_2026;not_primary","docs/current-16-four-year-admission-data-audit-2026-08-31.md","474","475","https://grs.lnu.edu.cn/2025yzylqmd1.pdf","https://grs.lnu.edu.cn/2026ssyzymd.pdf"
