trace_id,task_id,cohort,school,project,target_year,simulated_origin,design,target_statistic,rule,prev2_year,prev2_median,prev2_n,prev1_year,prev1_median,prev1_n,actual_median,actual_n,prediction,error_pred_minus_actual,absolute_error,error_direction,eligibility,missing_reason,courses,population_boundary,source_file,source_line_refs,prev2_source_url,prev1_source_url,target_source_url,source_correction,source_timing_note
b186f22a-8db9-4369-ac37-4928462725de,ECNU-135-085404-01-2025,compatible_subject_proxy,ECNU,135-085404-01,2025,2024-11-01,retrospective_rules_and_sample_chosen_now_not_prospectively_registered,selected_population_provisional_admit_initial_total_median,L1,,,,2024,351,63,352.5,64,351,-1.5,1.5,under,available_in_stated_layer,,101+204+302+408 -> same,both years full-time blank-remark proxy; 2024 proxy63 differs from ordinary annual64,docs/current-16-four-year-admission-data-audit-2026-08-31.md,306-307;315;317;331-339,,https://xxgk.ecnu.edu.cn/_upload/article/files/43/58/18a922cb497eb0a5b79b1e8f9239/3677d138-8ae7-43e0-9fc6-829a045e25b8.pdf,https://xxgk.ecnu.edu.cn/_upload/article/files/91/2c/c572f8d244cd849ec879f177dae4/fa6b90ed-39b0-4359-bf44-3482c5c03c46.pdf,,publication year/source retained; main-cohort prior input dates live checked; see memo for specific dates
b186f22a-8db9-4369-ac37-4928462725de,ECNU-135-085404-01-2025,compatible_subject_proxy,ECNU,135-085404-01,2025,2024-11-01,retrospective_rules_and_sample_chosen_now_not_prospectively_registered,selected_population_provisional_admit_initial_total_median,A2,,,,2024,351,63,352.5,64,,,,,unavailable,2023 final has no score distribution; exact catalogue row only secondary,101+204+302+408 -> same,both years full-time blank-remark proxy; 2024 proxy63 differs from ordinary annual64,docs/current-16-four-year-admission-data-audit-2026-08-31.md,306-307;315;317;331-339,,https://xxgk.ecnu.edu.cn/_upload/article/files/43/58/18a922cb497eb0a5b79b1e8f9239/3677d138-8ae7-43e0-9fc6-829a045e25b8.pdf,https://xxgk.ecnu.edu.cn/_upload/article/files/91/2c/c572f8d244cd849ec879f177dae4/fa6b90ed-39b0-4359-bf44-3482c5c03c46.pdf,,publication year/source retained; main-cohort prior input dates live checked; see memo for specific dates
b186f22a-8db9-4369-ac37-4928462725de,ECNU-135-085404-01-2025,compatible_subject_proxy,ECNU,135-085404-01,2025,2024-11-01,retrospective_rules_and_sample_chosen_now_not_prospectively_registered,selected_population_provisional_admit_initial_total_median,H2,,,,2024,351,63,352.5,64,,,,,unavailable,2023 final has no score distribution; exact catalogue row only secondary,101+204+302+408 -> same,both years full-time blank-remark proxy; 2024 proxy63 differs from ordinary annual64,docs/current-16-four-year-admission-data-audit-2026-08-31.md,306-307;315;317;331-339,,https://xxgk.ecnu.edu.cn/_upload/article/files/43/58/18a922cb497eb0a5b79b1e8f9239/3677d138-8ae7-43e0-9fc6-829a045e25b8.pdf,https://xxgk.ecnu.edu.cn/_upload/article/files/91/2c/c572f8d244cd849ec879f177dae4/fa6b90ed-39b0-4359-bf44-3482c5c03c46.pdf,,publication year/source retained; main-cohort prior input dates live checked; see memo for specific dates
b186f22a-8db9-4369-ac37-4928462725de,XJU-308-085405-2026,compatible_subject_proxy,XJU,308-085405,2026,2025-11-01,retrospective_rules_and_sample_chosen_now_not_prospectively_registered,selected_population_provisional_admit_initial_total_median,L1,,,,2025,292.5,104,321.5,136,292.5,-29.0,29.0,under,available_in_stated_layer,,101+204+302+408 -> same,ordinary first-choice cleaned; 2025 explicit bonus2 excluded; first4082025 second4082026,docs/current-16-four-year-admission-data-audit-2026-08-31.md,489-490;498-499;511,,https://ss.xju.edu.cn/info/1036/3312.htm,https://ss.xju.edu.cn/info/1036/3441.htm,,publication year/source retained; main-cohort prior input dates live checked; see memo for specific dates
b186f22a-8db9-4369-ac37-4928462725de,XJU-308-085405-2026,compatible_subject_proxy,XJU,308-085405,2026,2025-11-01,retrospective_rules_and_sample_chosen_now_not_prospectively_registered,selected_population_provisional_admit_initial_total_median,A2,,,,2025,292.5,104,321.5,136,,,,,unavailable,2024 fourth subject839; not same-subject three-year window,101+204+302+408 -> same,ordinary first-choice cleaned; 2025 explicit bonus2 excluded; first4082025 second4082026,docs/current-16-four-year-admission-data-audit-2026-08-31.md,489-490;498-499;511,,https://ss.xju.edu.cn/info/1036/3312.htm,https://ss.xju.edu.cn/info/1036/3441.htm,,publication year/source retained; main-cohort prior input dates live checked; see memo for specific dates
b186f22a-8db9-4369-ac37-4928462725de,XJU-308-085405-2026,compatible_subject_proxy,XJU,308-085405,2026,2025-11-01,retrospective_rules_and_sample_chosen_now_not_prospectively_registered,selected_population_provisional_admit_initial_total_median,H2,,,,2025,292.5,104,321.5,136,,,,,unavailable,2024 fourth subject839; not same-subject three-year window,101+204+302+408 -> same,ordinary first-choice cleaned; 2025 explicit bonus2 excluded; first4082025 second4082026,docs/current-16-four-year-admission-data-audit-2026-08-31.md,489-490;498-499;511,,https://ss.xju.edu.cn/info/1036/3312.htm,https://ss.xju.edu.cn/info/1036/3441.htm,,publication year/source retained; main-cohort prior input dates live checked; see memo for specific dates
b186f22a-8db9-4369-ac37-4928462725de,ZZU-084-085410-2024,broad_professional_sensitivity,ZZU,084-085410,2024,2023-11-01,retrospective_rules_and_sample_chosen_now_not_prospectively_registered,selected_population_provisional_admit_initial_total_median,L1,,,,2023,343,63,346,73,343,-3,3,under,available_in_stated_layer,,101+204+302+408 -> same,full-time non-directed; special unmarked; training directions pooled and changing,docs/current-16-four-year-admission-data-audit-2026-08-31.md,413-414;422-423,,https://yz.zzu.edu.cn/info/1070/1811.htm,https://yz.zzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1876580606&wbfileid=14489871,ZZU2024/25 official retained final PDFs source ids871/881; hashes and visual evidence in accompanying MD; no final-list mirror claim,publication year/source retained; main-cohort prior input dates live checked; see memo for specific dates
b186f22a-8db9-4369-ac37-4928462725de,ZZU-084-085410-2024,broad_professional_sensitivity,ZZU,084-085410,2024,2023-11-01,retrospective_rules_and_sample_chosen_now_not_prospectively_registered,selected_population_provisional_admit_initial_total_median,A2,,,,2023,343,63,346,73,,,,,unavailable,no accepted 2022 distribution in scope,101+204+302+408 -> same,full-time non-directed; special unmarked; training directions pooled and changing,docs/current-16-four-year-admission-data-audit-2026-08-31.md,413-414;422-423,,https://yz.zzu.edu.cn/info/1070/1811.htm,https://yz.zzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1876580606&wbfileid=14489871,ZZU2024/25 official retained final PDFs source ids871/881; hashes and visual evidence in accompanying MD; no final-list mirror claim,publication year/source retained; main-cohort prior input dates live checked; see memo for specific dates
b186f22a-8db9-4369-ac37-4928462725de,ZZU-084-085410-2024,broad_professional_sensitivity,ZZU,084-085410,2024,2023-11-01,retrospective_rules_and_sample_chosen_now_not_prospectively_registered,selected_population_provisional_admit_initial_total_median,H2,,,,2023,343,63,346,73,,,,,unavailable,no accepted 2022 distribution in scope,101+204+302+408 -> same,full-time non-directed; special unmarked; training directions pooled and changing,docs/current-16-four-year-admission-data-audit-2026-08-31.md,413-414;422-423,,https://yz.zzu.edu.cn/info/1070/1811.htm,https://yz.zzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1876580606&wbfileid=14489871,ZZU2024/25 official retained final PDFs source ids871/881; hashes and visual evidence in accompanying MD; no final-list mirror claim,publication year/source retained; main-cohort prior input dates live checked; see memo for specific dates
b186f22a-8db9-4369-ac37-4928462725de,ZZU-084-085410-2025,broad_professional_sensitivity,ZZU,084-085410,2025,2024-11-01,retrospective_rules_and_sample_chosen_now_not_prospectively_registered,selected_population_provisional_admit_initial_total_median,L1,2023,343,63,2024,346,73,353.5,96,346,-7.5,7.5,under,available_in_stated_layer,,101+204+302+408 -> same,full-time non-directed; 2023/24 special unmarked vs 2025 none; directions pooled and changing,docs/current-16-four-year-admission-data-audit-2026-08-31.md,413-415;422-424,https://yz.zzu.edu.cn/info/1070/1811.htm,https://yz.zzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1876580606&wbfileid=14489871,https://yz.zzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1876580606&wbfileid=15015736,ZZU2024/25 official retained final PDFs source ids871/881; hashes and visual evidence in accompanying MD; no final-list mirror claim,publication year/source retained; main-cohort prior input dates live checked; see memo for specific dates
