trace_id,admission_year,college_code,program_code,program_name,record_type,population_scope,score_band,N_listed,K_observed,A_provisional,B_reserve,R_interview_fail,U_unmatched,A_over_N_listed,A_over_K_observed,metric,numerator,denominator,count_lower,count_upper,rank_threshold_n,initial_score_cutoff,tie_positions,retest_pages,result_pages,retest_source_url,result_source_url,note
a827494e-fb33-4bb3-a7f1-3c7eb2d2f4a0,2026,010,085404,计算机技术,cohort_status,listed_in_first_choice_retest_exact_program_excluding_explicit_minority_and_part_time,ALL,72,47,36,3,8,25,0.5000000000,0.7659574468,,,,,,,,,2-5,1-3,https://cie.nwafu.edu.cn/docs//2026-03/1b06ac616f1247748f5227f5b860020c.pdf,https://cie.nwafu.edu.cn/docs//2026-03/a681f79d07304604903377ddd1e007fd.pdf,"Snapshot at 2026-03-28. N is listed, not actual attendees. U is unknown, not absent/rejected. R raw label: 面试不合格，不予录取. Fractions are descriptive counts, not admission probabilities."
a827494e-fb33-4bb3-a7f1-3c7eb2d2f4a0,2026,010,085404,计算机技术,cohort_status,listed_in_first_choice_retest_exact_program_excluding_explicit_minority_and_part_time,<300,14,7,4,1,2,7,0.2857142857,0.5714285714,,,,,,,,,2-5,1-3,https://cie.nwafu.edu.cn/docs//2026-03/1b06ac616f1247748f5227f5b860020c.pdf,https://cie.nwafu.edu.cn/docs//2026-03/a681f79d07304604903377ddd1e007fd.pdf,"Snapshot at 2026-03-28. N is listed, not actual attendees. U is unknown, not absent/rejected. R raw label: 面试不合格，不予录取. Fractions are descriptive counts, not admission probabilities."
a827494e-fb33-4bb3-a7f1-3c7eb2d2f4a0,2026,010,085404,计算机技术,cohort_status,listed_in_first_choice_retest_exact_program_excluding_explicit_minority_and_part_time,300-319,18,7,5,0,2,11,0.2777777778,0.7142857143,,,,,,,,,2-5,1-3,https://cie.nwafu.edu.cn/docs//2026-03/1b06ac616f1247748f5227f5b860020c.pdf,https://cie.nwafu.edu.cn/docs//2026-03/a681f79d07304604903377ddd1e007fd.pdf,"Snapshot at 2026-03-28. N is listed, not actual attendees. U is unknown, not absent/rejected. R raw label: 面试不合格，不予录取. Fractions are descriptive counts, not admission probabilities."
a827494e-fb33-4bb3-a7f1-3c7eb2d2f4a0,2026,010,085404,计算机技术,cohort_status,listed_in_first_choice_retest_exact_program_excluding_explicit_minority_and_part_time,320-339,14,10,9,0,1,4,0.6428571429,0.9000000000,,,,,,,,,2-5,1-3,https://cie.nwafu.edu.cn/docs//2026-03/1b06ac616f1247748f5227f5b860020c.pdf,https://cie.nwafu.edu.cn/docs//2026-03/a681f79d07304604903377ddd1e007fd.pdf,"Snapshot at 2026-03-28. N is listed, not actual attendees. U is unknown, not absent/rejected. R raw label: 面试不合格，不予录取. Fractions are descriptive counts, not admission probabilities."
a827494e-fb33-4bb3-a7f1-3c7eb2d2f4a0,2026,010,085404,计算机技术,cohort_status,listed_in_first_choice_retest_exact_program_excluding_explicit_minority_and_part_time,340-359,17,15,11,2,2,2,0.6470588235,0.7333333333,,,,,,,,,2-5,1-3,https://cie.nwafu.edu.cn/docs//2026-03/1b06ac616f1247748f5227f5b860020c.pdf,https://cie.nwafu.edu.cn/docs//2026-03/a681f79d07304604903377ddd1e007fd.pdf,"Snapshot at 2026-03-28. N is listed, not actual attendees. U is unknown, not absent/rejected. R raw label: 面试不合格，不予录取. Fractions are descriptive counts, not admission probabilities."
a827494e-fb33-4bb3-a7f1-3c7eb2d2f4a0,2026,010,085404,计算机技术,cohort_status,listed_in_first_choice_retest_exact_program_excluding_explicit_minority_and_part_time,>=360,9,8,7,0,1,1,0.7777777778,0.8750000000,,,,,,,,,2-5,1-3,https://cie.nwafu.edu.cn/docs//2026-03/1b06ac616f1247748f5227f5b860020c.pdf,https://cie.nwafu.edu.cn/docs//2026-03/a681f79d07304604903377ddd1e007fd.pdf,"Snapshot at 2026-03-28. N is listed, not actual attendees. U is unknown, not absent/rejected. R raw label: 面试不合格，不予录取. Fractions are descriptive counts, not admission probabilities."
a827494e-fb33-4bb3-a7f1-3c7eb2d2f4a0,2026,010,085404,计算机技术,admitted_composition,observed_exact_provisional_admit_only,<300,,,,,,,,,fraction_of_observed_provisional_admits_below_score,4,36,,,,,,2-5,1-3,https://cie.nwafu.edu.cn/docs//2026-03/1b06ac616f1247748f5227f5b860020c.pdf,https://cie.nwafu.edu.cn/docs//2026-03/a681f79d07304604903377ddd1e007fd.pdf,"This is composition of provisional admits, not success rate among low scorers."
a827494e-fb33-4bb3-a7f1-3c7eb2d2f4a0,2026,010,085404,计算机技术,admitted_composition,observed_exact_provisional_admit_only,<320,,,,,,,,,fraction_of_observed_provisional_admits_below_score,9,36,,,,,,2-5,1-3,https://cie.nwafu.edu.cn/docs//2026-03/1b06ac616f1247748f5227f5b860020c.pdf,https://cie.nwafu.edu.cn/docs//2026-03/a681f79d07304604903377ddd1e007fd.pdf,"This is composition of provisional admits, not success rate among low scorers."
a827494e-fb33-4bb3-a7f1-3c7eb2d2f4a0,2026,010,085404,计算机技术,initial_rank_displacement,observed_results_only,,,47,,,,,,,top_n_not_admitted,,,6,6,36,307,35-36,2-5,1-3,https://cie.nwafu.edu.cn/docs//2026-03/1b06ac616f1247748f5227f5b860020c.pdf,https://cie.nwafu.edu.cn/docs//2026-03/a681f79d07304604903377ddd1e007fd.pdf,"n equals observed exact provisional admits, not planned seats. Range varies solely by unresolved initial-score tie order. Not a whole-listed-cohort rate; not official final rank."
a827494e-fb33-4bb3-a7f1-3c7eb2d2f4a0,2026,010,085404,计算机技术,initial_rank_displacement,observed_results_only,,,47,,,,,,,beyond_n_admitted,,,6,6,36,307,35-36,2-5,1-3,https://cie.nwafu.edu.cn/docs//2026-03/1b06ac616f1247748f5227f5b860020c.pdf,https://cie.nwafu.edu.cn/docs//2026-03/a681f79d07304604903377ddd1e007fd.pdf,"n equals observed exact provisional admits, not planned seats. Range varies solely by unresolved initial-score tie order. Not a whole-listed-cohort rate; not official final rank."
a827494e-fb33-4bb3-a7f1-3c7eb2d2f4a0,2026,010,085410,人工智能,cohort_status,listed_in_first_choice_retest_exact_program_excluding_explicit_minority_and_part_time,ALL,32,25,19,0,6,7,0.5937500000,0.7600000000,,,,,,,,,1-2,3,https://cie.nwafu.edu.cn/docs//2026-03/1b06ac616f1247748f5227f5b860020c.pdf,https://cie.nwafu.edu.cn/docs//2026-03/a681f79d07304604903377ddd1e007fd.pdf,"Snapshot at 2026-03-28. N is listed, not actual attendees. U is unknown, not absent/rejected. R raw label: 面试不合格，不予录取. Fractions are descriptive counts, not admission probabilities."
a827494e-fb33-4bb3-a7f1-3c7eb2d2f4a0,2026,010,085410,人工智能,cohort_status,listed_in_first_choice_retest_exact_program_excluding_explicit_minority_and_part_time,<300,10,7,3,0,4,3,0.3000000000,0.4285714286,,,,,,,,,1-2,3,https://cie.nwafu.edu.cn/docs//2026-03/1b06ac616f1247748f5227f5b860020c.pdf,https://cie.nwafu.edu.cn/docs//2026-03/a681f79d07304604903377ddd1e007fd.pdf,"Snapshot at 2026-03-28. N is listed, not actual attendees. U is unknown, not absent/rejected. R raw label: 面试不合格，不予录取. Fractions are descriptive counts, not admission probabilities."
a827494e-fb33-4bb3-a7f1-3c7eb2d2f4a0,2026,010,085410,人工智能,cohort_status,listed_in_first_choice_retest_exact_program_excluding_explicit_minority_and_part_time,300-319,10,7,5,0,2,3,0.5000000000,0.7142857143,,,,,,,,,1-2,3,https://cie.nwafu.edu.cn/docs//2026-03/1b06ac616f1247748f5227f5b860020c.pdf,https://cie.nwafu.edu.cn/docs//2026-03/a681f79d07304604903377ddd1e007fd.pdf,"Snapshot at 2026-03-28. N is listed, not actual attendees. U is unknown, not absent/rejected. R raw label: 面试不合格，不予录取. Fractions are descriptive counts, not admission probabilities."
a827494e-fb33-4bb3-a7f1-3c7eb2d2f4a0,2026,010,085410,人工智能,cohort_status,listed_in_first_choice_retest_exact_program_excluding_explicit_minority_and_part_time,320-339,4,3,3,0,0,1,0.7500000000,1.0000000000,,,,,,,,,1-2,3,https://cie.nwafu.edu.cn/docs//2026-03/1b06ac616f1247748f5227f5b860020c.pdf,https://cie.nwafu.edu.cn/docs//2026-03/a681f79d07304604903377ddd1e007fd.pdf,"Snapshot at 2026-03-28. N is listed, not actual attendees. U is unknown, not absent/rejected. R raw label: 面试不合格，不予录取. Fractions are descriptive counts, not admission probabilities."
a827494e-fb33-4bb3-a7f1-3c7eb2d2f4a0,2026,010,085410,人工智能,cohort_status,listed_in_first_choice_retest_exact_program_excluding_explicit_minority_and_part_time,340-359,5,5,5,0,0,0,1.0000000000,1.0000000000,,,,,,,,,1-2,3,https://cie.nwafu.edu.cn/docs//2026-03/1b06ac616f1247748f5227f5b860020c.pdf,https://cie.nwafu.edu.cn/docs//2026-03/a681f79d07304604903377ddd1e007fd.pdf,"Snapshot at 2026-03-28. N is listed, not actual attendees. U is unknown, not absent/rejected. R raw label: 面试不合格，不予录取. Fractions are descriptive counts, not admission probabilities."
a827494e-fb33-4bb3-a7f1-3c7eb2d2f4a0,2026,010,085410,人工智能,cohort_status,listed_in_first_choice_retest_exact_program_excluding_explicit_minority_and_part_time,>=360,3,3,3,0,0,0,1.0000000000,1.0000000000,,,,,,,,,1-2,3,https://cie.nwafu.edu.cn/docs//2026-03/1b06ac616f1247748f5227f5b860020c.pdf,https://cie.nwafu.edu.cn/docs//2026-03/a681f79d07304604903377ddd1e007fd.pdf,"Snapshot at 2026-03-28. N is listed, not actual attendees. U is unknown, not absent/rejected. R raw label: 面试不合格，不予录取. Fractions are descriptive counts, not admission probabilities."
a827494e-fb33-4bb3-a7f1-3c7eb2d2f4a0,2026,010,085410,人工智能,admitted_composition,observed_exact_provisional_admit_only,<300,,,,,,,,,fraction_of_observed_provisional_admits_below_score,3,19,,,,,,1-2,3,https://cie.nwafu.edu.cn/docs//2026-03/1b06ac616f1247748f5227f5b860020c.pdf,https://cie.nwafu.edu.cn/docs//2026-03/a681f79d07304604903377ddd1e007fd.pdf,"This is composition of provisional admits, not success rate among low scorers."
a827494e-fb33-4bb3-a7f1-3c7eb2d2f4a0,2026,010,085410,人工智能,admitted_composition,observed_exact_provisional_admit_only,<320,,,,,,,,,fraction_of_observed_provisional_admits_below_score,8,19,,,,,,1-2,3,https://cie.nwafu.edu.cn/docs//2026-03/1b06ac616f1247748f5227f5b860020c.pdf,https://cie.nwafu.edu.cn/docs//2026-03/a681f79d07304604903377ddd1e007fd.pdf,"This is composition of provisional admits, not success rate among low scorers."
a827494e-fb33-4bb3-a7f1-3c7eb2d2f4a0,2026,010,085410,人工智能,initial_rank_displacement,observed_results_only,,,25,,,,,,,top_n_not_admitted,,,2,3,19,298,19-20,1-2,3,https://cie.nwafu.edu.cn/docs//2026-03/1b06ac616f1247748f5227f5b860020c.pdf,https://cie.nwafu.edu.cn/docs//2026-03/a681f79d07304604903377ddd1e007fd.pdf,"n equals observed exact provisional admits, not planned seats. Range varies solely by unresolved initial-score tie order. Not a whole-listed-cohort rate; not official final rank."
a827494e-fb33-4bb3-a7f1-3c7eb2d2f4a0,2026,010,085410,人工智能,initial_rank_displacement,observed_results_only,,,25,,,,,,,beyond_n_admitted,,,2,3,19,298,19-20,1-2,3,https://cie.nwafu.edu.cn/docs//2026-03/1b06ac616f1247748f5227f5b860020c.pdf,https://cie.nwafu.edu.cn/docs//2026-03/a681f79d07304604903377ddd1e007fd.pdf,"n equals observed exact provisional admits, not planned seats. Range varies solely by unresolved initial-score tie order. Not a whole-listed-cohort rate; not official final rank."
